
曹操|201501|78|98|84|
刘备|201502|99|69|75|
孙权|201503|59|90|88|
曹操|201504|78|98|84|
刘备|201505|78|69|75|
孙权|201506|59|90|88|
曹操|201507|78|98|54|
刘备|201508|88|69|65|
孙权|201509|69|80|44|
曹操|201510|78|98|84|
刘备|201511|78|69|75|
孙权|201512|69|90|58|
曹操|201513|78|78|64|
刘备|201514|98|69|75|
孙权|201515|69|90|88|
曹操|201516|78|98|64|
刘备|201517|98|69|75|
孙权|201518|69|70|58|
曹操|201519|98|98|84|
刘备|201520|88|69|75|
曹操|201521|78|98|84|
刘备|201522|99|69|75|
孙权|201523|59|90|88|
曹操|201524|78|98|84|
刘备|201525|78|69|75|
孙权|201526|59|90|88|
曹操|201527|78|98|54|
刘备|201528|88|69|65|
孙权|201529|69|80|44|
曹操|201530|78|98|84|
刘备|201531|78|69|75|
孙权|201532|69|90|58|
曹操|201533|78|78|64|
刘备|201534|98|69|75|
孙权|201535|69|90|88|
曹操|201536|78|98|64|
刘备|201537|98|69|75|
孙权|201538|69|70|58|
曹操|201539|98|98|84|
刘备|201540|88|69|75|
