
曹操|201501|68|98|84|
刘备|201502|99|69|75|
孙权|201503|69|90|88|
曹操|201504|78|98|54|
刘备|201505|68|69|75|
孙权|201506|69|90|88|
曹操|201507|78|98|84|
刘备|201508|98|69|75|
孙权|201509|69|90|44|
曹操|201510|98|98|64|
刘备|201511|88|69|75|
孙权|201512|49|90|88|
曹操|201513|78|98|84|
刘备|201514|88|69|75|
孙权|201515|69|90|98|
孙权|201512|49|90|88|
曹操|201513|78|98|84|
刘备|201514|88|69|75|
孙权|201515|69|90|98|
曹操|201516|78|98|94|
曹操|201516|78|98|94|
刘备|201517|58|69|75|
孙权|201518|69|90|88|
曹操|201519|78|98|84|
刘备|201520|88|69|75|
