
曹操|201501|58|88|84|
刘备|201502|99|69|75|
孙权|201503|69|70|88|
曹操|201504|78|88|84|
刘备|201505|88|69|75|
孙权|201506|69|60|88|
曹操|201507|78|88|84|
刘备|201508|88|69|75|
孙权|201509|69|90|44|
曹操|201510|78|98|84|
刘备|201511|88|69|75|
孙权|201512|69|90|88|
曹操|201513|78|88|84|
刘备|201514|88|69|75|
孙权|201515|69|90|88|
孙权|201516|69|60|88|
曹操|201517|78|68|84|
刘备|201518|88|69|75|
孙权|201519|69|70|88|
曹操|201520|78|98|84|
曹操|201521|78|98|84|
刘备|201522|88|69|75|
孙权|201523|69|90|88|
曹操|201524|78|98|84|
刘备|201525|88|69|75|
孙权|201526|69|90|88|
曹操|201527|78|98|84|
刘备|201528|88|69|75|
孙权|201529|69|80|88|
刘备|201530|88|69|75|
杨瑞东|201401|88|99|77|
